ID,Prediction
1,0.1392
2,0.0
3,0.1008
4,0.0818
5,0.0036
6,0.0084
7,0.0
8,0.7378
9,0.115
10,0.8398
11,0.0
12,0.1356
13,0.107
14,0.928
15,0.0
16,0.0694
17,0.0202
18,0.4374
19,0.6078
20,0.0
21,0.0528
22,0.24
23,1.0
24,0.8424
25,0.053
26,0.6084
27,0.002
28,0.0
29,0.0026
30,0.08912
31,0.0002
32,0.0114
33,0.0
34,0.0
35,0.4026
36,0.4288
37,0.0
38,0.3662
39,0.114
40,0.972
41,0.986
42,0.0124
43,1.0
44,0.127
45,0.0
46,0.0
47,0.0012
48,0.3834
49,0.0
50,0.033
51,0.0288
52,0.0468
53,0.6478333333333333
54,0.4282
55,1.0
56,0.4922
57,0.1614
58,0.0612
59,0.255
60,0.638
61,0.0
62,0.3922
63,0.2212
64,0.0
65,0.0
66,0.03
67,1.0
68,0.03
69,0.0
70,0.001
71,0.0006
72,0.4516
73,0.0
74,0.011
75,0.5214
76,0.0004
77,0.0006
78,0.4912
79,0.8112
80,0.0002
81,0.1578
82,0.023
83,0.0098
84,0.0008
85,0.0914
86,1.0
87,0.1008
88,0.0
89,0.1214
90,0.7332
91,0.6342
92,0.7358
93,0.0092
94,0.0
95,0.2906
96,0.8608
97,0.0
98,0.0
99,0.0914
100,0.1614
101,0.9694
102,0.2224
103,0.0066
104,0.388
105,0.7228
106,0.0032
107,0.003
108,0.0122
109,0.935
110,0.0414
111,0.002
112,0.0352
113,0.0002
114,0.0022
115,0.6542
116,0.0274
117,0.0
118,0.0
119,0.0608
120,0.004
121,0.76
122,0.0002
123,0.644
124,0.5253
125,1.0
126,0.0002
127,0.1712
128,0.2968
129,0.1228
130,0.0716
131,0.824
132,0.2562
133,0.8212
134,0.6962
135,0.061
136,0.0002
137,0.0006
138,0.0
139,0.0316
140,0.0
141,0.2834
142,0.0026
143,0.0
144,0.1384
145,0.02
146,0.6302
147,0.0164
148,0.0126
149,0.4904
150,0.0
151,0.6242
152,0.536
153,0.097
154,0.0006
155,0.225
156,0.6544
157,0.229
158,0.0002
159,0.0004
160,0.1068
161,1.0
162,0.4426
163,0.002
164,0.0002
165,0.0726
166,0.4774
167,0.1666
168,0.0454
169,0.0
170,0.0014
171,1.0
172,0.0
173,0.375
174,0.0
175,0.2078
176,0.2494
177,0.0116
178,0.1464
179,0.0034
180,0.0038
181,0.4848
182,0.3966
183,0.0198
184,0.0574
185,0.0002
186,0.0144
187,0.0188
188,0.1332
189,0.0064
190,0.0016
191,0.0554
192,0.3694
193,0.1948
194,0.698
195,0.1734
196,0.0
197,0.8702
198,0.0
199,0.5959899999999999
200,0.0284
201,0.0002
202,0.429
203,0.0066
204,0.0216
205,0.0008
206,0.7288
207,0.0288
208,0.029
209,0.578
210,0.025
211,0.0094
212,0.279
213,0.0384
214,0.0016
215,0.0
216,1.0
217,0.0008
218,0.0428
219,0.4458
220,1.0
221,0.3012
222,0.0
223,0.0006
224,1.0
225,0.8224
226,0.0
227,0.0034
228,0.0048
229,0.0
230,0.4834
231,0.8874
232,0.0492
233,0.5424
234,0.072
235,0.8696
236,0.4894
237,0.0466
238,0.707
239,0.1546
240,0.0016
241,0.2434
242,0.0
243,0.0072
244,0.0866
245,0.0
246,0.9021
247,0.0
248,0.9144
249,0.8518
250,0.3858
251,0.0298
252,0.026
253,0.0
254,0.0
255,0.1934
256,0.0008
257,0.1284
258,1.0
259,0.5984
260,0.0
261,0.0206
262,0.5882
263,0.0034
264,0.0252
265,0.0178
266,0.0
267,0.0008
268,0.6996
269,0.064
270,0.0
271,0.8506
272,0.001
273,0.0
274,0.16715
275,0.1296
276,0.159
277,0.1374
278,0.0
279,0.0004
280,0.114
281,1.0
282,0.544
283,0.0826
284,0.0
285,0.0166
286,1.0
287,0.1354
288,0.5836
289,0.0
290,0.4904
291,0.2896
292,1.0
293,0.0
294,0.1066
295,0.0594
296,0.0
297,0.6562
298,0.6656
299,0.168
300,0.1124
301,0.9308
302,0.0006
303,0.0222
304,0.1566
305,0.002
306,0.5916
307,0.0004
308,0.7524
309,0.006
310,0.5556
311,0.0404
312,0.3516
313,0.0
314,0.0168
315,0.0
316,0.0282
317,0.8386
318,0.0886
319,0.5012
320,0.0
321,0.0002
322,0.1066
323,0.4364
324,0.0624
325,0.3766
326,0.0064
327,0.0002
328,0.0
329,0.0096
330,0.0
331,0.3136
332,0.2246
333,0.4724
334,0.0004
335,0.0118
336,0.0
337,0.5816
338,0.0928
339,0.1772
340,0.9686
341,0.3362
342,0.7864
343,0.0144
344,0.0
345,0.9836
346,0.8404
347,0.0
348,1.0
349,0.7568
350,0.4217
351,0.0142
352,0.3204666666666667
353,0.4308
354,0.8104
355,0.12512
356,0.0
357,0.0116
358,0.16221666666666668
359,0.4662
360,0.3732
361,0.0028
362,0.0476
363,0.4032
364,0.3554
365,0.0104
366,0.6006
367,0.0302
368,0.6082
369,0.2882
370,1.0
371,0.1692
372,0.2972
373,0.0
374,0.066
375,0.2378
376,0.2482
377,0.0038
378,0.0024
379,0.2376
380,0.0
381,0.2346
382,0.0
383,0.0012
384,0.0028
385,0.0016
386,0.0
387,0.991
388,0.0
389,0.1696
390,0.1896
391,0.3678
392,0.692
393,0.0
394,0.011
395,0.8036
396,0.98
397,0.548
398,0.7294
399,0.659
400,0.3796
401,0.092
402,0.0
403,0.1092
404,0.091
405,0.0982
406,0.0604
407,0.0012
408,0.3818
409,0.7636
410,0.09845000000000001
411,0.9508
412,0.0254
413,0.0
414,0.4034
415,0.0
416,0.6524
417,0.306
418,0.6594
419,0.0
420,0.0
421,0.0
422,0.0004
423,0.0
424,0.8942
425,0.068
426,0.5152
427,0.197
428,0.0
429,0.263464761904762
430,0.198
431,0.377
432,0.0036
433,0.0
434,0.219
435,0.1944
436,0.135
437,0.5804
438,0.0004
439,0.0006
440,0.0
441,0.8534
442,0.9996
443,0.0002
444,0.2408
445,0.1924
446,0.011
447,0.0
448,0.0
449,0.579
450,1.0
451,1.0
452,0.0006
453,0.001
454,0.6816
455,0.0
456,0.0
457,0.001
458,0.4032
459,0.01
460,0.0382
461,0.0518
462,0.578
463,0.2068
464,0.0
465,0.0788
466,0.0014
467,0.0393
468,0.0
469,0.0012
470,0.576
471,0.3998
472,0.0808
473,0.1196
474,0.0074
475,0.84
476,0.0
477,0.227
478,0.0296
479,0.9988
480,0.0404
481,0.9332
482,0.001
483,0.093
484,0.8566
485,0.0
486,0.1084
487,0.8848
488,0.3912
489,0.584
490,0.1102
491,0.0
492,0.0
493,0.0
494,0.0
495,0.323
496,0.0008
497,0.0988
498,0.7496
499,0.432
500,0.4014
501,0.9786
502,0.0
503,1.0
504,0.0026
505,0.0
506,0.7486
507,0.0342
508,0.0002
509,0.009
510,0.2321319047619048
511,0.0636
512,0.4074
513,0.4268
514,0.2026
515,0.0608
516,1.0
517,0.0176
518,0.147
519,0.8176
520,0.2504
521,0.0
522,0.006
523,0.376
524,0.0
525,1.0
526,0.5444
527,0.0002
528,0.1138
529,0.0768
530,0.583
531,0.0042
532,0.4658
533,0.0472
534,0.0002
535,0.1622
536,0.0
537,0.682
538,0.0296
539,0.0
540,1.0
541,0.0
542,0.8618
543,0.003
544,0.0
545,0.091
546,0.0024
547,0.9998
548,0.5224
549,0.0006
550,0.2012
551,1.0
552,1.0
553,0.0
554,0.0156
555,0.5298
556,0.0
557,0.001
558,0.4912
559,0.2468
560,0.8776
561,0.1336
562,0.8364
563,0.5278
564,0.004
565,0.9998
566,0.0926
567,0.4394
568,0.9968
569,0.0248
570,0.032
571,0.0
572,0.3912
573,0.1134
574,0.5472
575,0.0492
576,0.0538
577,0.0004
578,0.002
579,0.085
580,0.0008
581,0.0004
582,0.0096
583,0.2818
584,0.4846
585,0.6286
586,0.011
587,0.7756
588,0.9344
589,0.0122
590,0.0106
591,0.2694
592,0.0066
593,0.0
594,0.0
595,0.996
596,0.069
597,0.5174
598,0.0842
599,0.0004
600,0.0022
601,0.4124
602,0.0044
603,0.0
604,0.5298
605,0.0
606,0.4702
607,0.2768
608,0.0
609,0.0134
610,0.0008
611,0.1446
612,0.1226
613,0.0
614,0.0016
615,0.7638
616,0.028
617,0.0004
618,0.002
619,0.3958
620,0.0008
621,0.0588
622,0.5188
623,0.768
624,0.9568
625,0.0016
626,0.002
627,0.1994
628,1.0
629,0.3478
630,0.0038
631,0.0078
632,0.7576
633,0.0
634,0.0004
635,0.0652
636,0.0716
637,0.0048
638,0.4218
639,0.2526
640,1.0
641,0.1276
642,0.0
643,0.0266
644,0.003
645,1.0
646,0.3912
647,1.0
648,0.0
649,0.6074
650,0.0
651,0.261
652,0.0532
653,0.5004
654,0.6822
655,0.0002
656,0.3808
657,0.5864
658,0.001
659,0.4274
660,0.9718
661,0.26
662,0.0034
663,0.452
664,0.9962
665,1.0
666,0.0084
667,0.0006
668,0.0842
669,0.0096
670,0.0
671,0.0018
672,0.0646
673,0.0
674,0.461
675,0.0008
676,0.1858
677,0.0016
678,0.0002
679,0.0
680,0.025
681,0.2
682,0.2574
683,0.0
684,0.2296
685,0.0098
686,0.0166
687,0.5772
688,0.283
689,0.5858
690,0.0
691,0.0888
692,0.037
693,0.572
694,0.2548
695,1.0
696,0.6364
697,0.0428
698,0.006
699,0.0
700,0.1784
701,0.072
702,0.1916
703,0.4024
704,0.0402
705,0.0
706,0.4667357142857144
707,0.0486
708,0.0414
709,0.0126
710,0.2689
711,0.0006
712,0.0074
713,0.0
714,0.0078
715,0.0
716,0.5802
717,0.0538
718,0.6096
719,0.2218
720,1.0
721,0.4114
722,0.2206
723,0.2092
724,0.0366
725,0.0082
726,0.294
727,0.001
728,0.5678
729,0.17023333333333335
730,0.0178
731,0.0
732,0.0074
733,0.0248
734,0.9338
735,1.0
736,0.1008
737,0.0304
738,0.998
739,0.0004
740,0.512
741,0.2292
742,0.6586
743,0.0032
744,0.0
745,0.0
746,0.083
747,0.0
748,0.0
749,0.0
750,0.384
751,0.3004
752,0.1776
753,0.2674
754,0.0
755,0.0006
756,0.007
757,0.0
758,0.1186
759,0.5827157142857144
760,0.0002
761,0.7036
762,0.5304
763,0.0004
764,0.4706
765,0.442
766,0.0362
767,0.4616
768,0.0004
769,0.037
770,0.017
771,0.5808
772,0.3716
773,0.0022
774,0.0602
775,0.0002
776,0.5564
777,0.0268
778,0.6628
779,0.1242
780,0.0002
781,0.1088
782,0.6924
783,0.2896
784,0.191
785,0.6326
786,0.2706
787,0.3498
788,0.032
789,0.5222
790,0.0008
791,0.1136
792,0.0
793,0.8714
794,0.0
795,0.0024
796,0.2804
797,0.7118
798,0.2406
799,0.0004
800,0.0746
801,0.9998
802,0.0012
803,0.3226
804,0.6474
805,0.5278
806,0.3144
807,0.004
808,0.845
809,0.0096
810,0.0966
811,0.0248
812,0.0052
813,0.0
814,0.0
815,0.0682
816,0.0002
817,0.1644
818,0.0
819,0.0
820,0.0066
821,0.7014
822,0.0
823,0.3098
824,0.0016
825,0.0124
826,0.0
827,0.0
828,0.32
829,0.7464
830,0.1598
831,0.6134
832,0.003
833,0.2042
834,0.19
835,0.0
836,0.8886
837,0.0
838,0.499
839,0.8588
840,1.0
841,0.0108
842,0.0142
